iter	Passed	Remaining
0	132	13113
1	191	9365
2	293	9498
3	407	9787
4	446	8486
5	469	7362
6	574	7636
7	691	7949
8	752	7606
9	876	7892
10	1009	8168
11	1136	8331
12	1239	8296
13	1348	8286
14	1472	8345
15	1585	8322
16	1695	8279
17	1810	8249
18	1922	8196
19	2027	8108
20	2129	8010
21	2238	7937
22	2338	7827
23	2442	7736
24	2552	7658
25	2666	7587
26	2769	7488
27	2890	7431
28	2994	7331
29	3096	7225
30	3199	7121
31	3312	7038
32	3414	6932
33	3516	6826
34	3623	6728
35	3732	6635
36	3840	6539
37	3947	6440
38	4059	6349
39	4178	6268
40	4298	6185
41	4411	6092
42	4513	5982
43	4621	5882
44	4727	5778
45	4862	5708
46	4961	5594
47	5075	5498
48	5236	5450
49	5426	5426
50	5609	5389
51	5797	5351
52	6014	5333
53	6202	5283
54	6408	5243
55	6607	5191
56	6792	5124
57	6989	5061
58	7168	4981
59	7355	4903
60	7541	4821
61	7730	4737
62	7913	4647
63	8132	4574
64	8248	4441
65	8343	4298
66	8458	4166
67	8567	4031
68	8669	3895
69	8766	3756
70	8871	3623
71	8987	3495
72	9094	3363
73	9273	3258
74	9440	3146
75	9630	3041
76	9814	2931
77	10016	2825
78	10194	2709
79	10366	2591
80	10535	2471
81	10708	2350
82	10895	2231
83	11097	2113
84	11298	1993
85	11490	1870
86	11671	1743
87	11838	1614
88	12008	1484
89	12179	1353
90	12349	1221
91	12522	1088
92	12693	955
93	12865	821
94	13033	685
95	13209	550
96	13387	414
97	13556	276
98	13726	138
99	13898	0
